	Game	Year	Genre	Publisher	North America	Europe	Japan	Rest of World	Global
286	The Heavy Rain and Beyond: Two Souls Collection	2016	Action	Sony Computer Entertainment	0.0	240000.0	0.0	40000.0	280000.0
287	Spintires: MudRunner	2017	Simulation	Focus Home Interactive	110000.0	120000.0	0.0	50000.0	280000.0
288	Onechanbara Z2: Chaos	2014	Action	NIS America	160000.0	30000.0	50000.0	40000.0	280000.0
289	Secret of Mana	2018	Role-Playing	Square Enix	60000.0	120000.0	50000.0	40000.0	270000.0
290	Gundam Versus	2017	Action	Namco Bandai Games	80000.0	0.0	180000.0	20000.0	280000.0
291	NBA Live 14	2013	Sports	EA Sports	170000.0	50000.0	0.0	50000.0	270000.0
292	Bravo Team VR	2018	Shooter	Sony Interactive Entertainment	120000.0	90000.0	20000.0	40000.0	270000.0
293	Killing Floor 2 	2016	Shooter	Tripwire Interactive	190000.0	30000.0	0.0	50000.0	270000.0
294	Robinson: The Journey	2016	Action-Adventure	Sony Interactive Entertainment	140000.0	90000.0	0.0	50000.0	280000.0
295	DriveClub VR	2016	Racing	Sony Interactive Entertainment	120000.0	90000.0	10000.0	40000.0	260000.0
296	Fate/Extella: The Umbral Star	2016	Action	PQube	120000.0	0.0	120000.0	30000.0	270000.0
297	Ultimate Marvel vs. Capcom 3	2017	Fighting	Capcom	190000.0	0.0	20000.0	40000.0	250000.0
298	New Danganronpa V3: Minna no Koroshiai Shin Gakki	2017	Adventure	NIS America	90000.0	50000.0	70000.0	30000.0	240000.0
299	Samurai Warriors 4	2014	Fighting	Tecmo Koei	80000.0	70000.0	60000.0	30000.0	240000.0
300	Darksiders III	2018	Action	THQ Nordic	130000.0	70000.0	0.0	40000.0	240000.0
301	NBA Live 15	2014	Sports	Electronic Arts	160000.0	40000.0	0.0	40000.0	240000.0
302	NBA Live 18	2017	Sports	EA Sports	200000.0	0.0	0.0	50000.0	250000.0
303	Tearaway Unfolded	2015	Platform	Sony Computer Entertainment	70000.0	130000.0	0.0	40000.0	240000.0
304	.hack//G.U. Last Recode	2017	Role-Playing	Namco Bandai Games	100000.0	40000.0	80000.0	30000.0	250000.0
305	Ride	2015	Racing	Milestone S.r.l.	40000.0	130000.0	30000.0	30000.0	230000.0
306	Just Dance 2017	2016	Misc	Ubisoft	80000.0	120000.0	0.0	40000.0	240000.0
307	The Escapists 2	2017	Action	Sold Out	40000.0	160000.0	0.0	40000.0	240000.0
308	Transformers: Devastation	2015	Action	Activision	110000.0	90000.0	0.0	40000.0	240000.0
309	Darksiders II	2015	Action-Adventure	Nordic Games	100000.0	100000.0	0.0	40000.0	240000.0
