,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
67,Middle-Earth: Shadow of War,2017,Action,Warner Bros. Interactive Entertainment,750000.0,290000.0,0.0,110000.0,1150000.0
68,Lego Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,610000.0,440000.0,0.0,100000.0,1150000.0
69,Final Fantasy XV,2016,Role-Playing,Square Enix,720000.0,300000.0,10000.0,110000.0,1140000.0
70,Mafia III,2016,Action-Adventure,2K Games,540000.0,480000.0,0.0,90000.0,1110000.0
71,Diablo III,2014,Role-Playing,Blizzard Entertainment,620000.0,320000.0,0.0,90000.0,1030000.0
72,Just Cause 3,2015,Action-Adventure,Square Enix,520000.0,410000.0,0.0,90000.0,1020000.0
73,Far Cry: Primal,2016,Action-Adventure,Ubisoft,510000.0,410000.0,0.0,90000.0,1010000.0
74,Dragon Age III: Inquisition,2014,Role-Playing,Electronic Arts,630000.0,270000.0,0.0,90000.0,990000.0
75,Sea of Thieves,2018,Action-Adventure,Microsoft Studios,600000.0,270000.0,0.0,90000.0,960000.0
76,NBA 2K14,2013,Sports,2K Sports,720000.0,120000.0,0.0,90000.0,930000.0
77,Monster Hunter: World,2018,Action,Capcom,670000.0,170000.0,0.0,90000.0,930000.0
78,Injustice 2,2017,Fighting,Warner Bros. Interactive Entertainment,650000.0,160000.0,0.0,90000.0,900000.0
79,Resident Evil VII: Biohazard,2017,Action,Capcom,510000.0,300000.0,0.0,80000.0,890000.0
80,For Honor,2017,Action,Ubisoft,570000.0,210000.0,0.0,80000.0,860000.0
81,Dishonored 2,2016,Action,Bethesda Softworks,470000.0,310000.0,0.0,80000.0,860000.0
82,Plants vs. Zombies: Garden Warfare 2,2016,Shooter,Electronic Arts,470000.0,320000.0,0.0,80000.0,870000.0
83,Madden NFL 25,2013,Sports,EA Sports,690000.0,60000.0,0.0,90000.0,840000.0
84,Metal Gear Solid V: The Phantom Pain,2015,Action,Konami Digital Entertainment,490000.0,250000.0,20000.0,70000.0,830000.0
85,Guitar Hero Live,2015,Music,Activision,520000.0,230000.0,0.0,80000.0,830000.0
86,Dark Souls III,2016,Role-Playing,Namco Bandai Games,560000.0,150000.0,0.0,80000.0,790000.0
87,LEGO Jurassic World,2015,Action,Warner Bros. Interactive Entertainment,440000.0,270000.0,0.0,70000.0,780000.0
88,Rare Replay,2015,Misc,Microsoft Studios,420000.0,270000.0,10000.0,70000.0,770000.0
89,Mass Effect: Andromeda,2017,Role-Playing,Electronic Arts,500000.0,200000.0,0.0,70000.0,770000.0
90,Minecraft: Story Mode,2015,Adventure,Mojang,460000.0,240000.0,0.0,70000.0,770000.0
91,Fortnite,2017,Action,Gearbox Software,600000.0,90000.0,0.0,80000.0,770000.0
92,Quantum Break,2016,Action,Microsoft Studios,420000.0,250000.0,20000.0,70000.0,760000.0
93,Wolfenstein: The New Order,2014,Shooter,Bethesda Softworks,390000.0,300000.0,0.0,60000.0,750000.0
94,Rock Band 4,2015,Music,Harmonix Music Systems,620000.0,50000.0,0.0,80000.0,750000.0
95,Need for Speed (2015),2015,Racing,Electronic Arts,350000.0,330000.0,0.0,60000.0,740000.0
96,The Sims 4,2017,Simulation,Electronic Arts,420000.0,240000.0,0.0,70000.0,730000.0
97,Need for Speed: Payback,2017,Racing,Electronic Arts,420000.0,240000.0,0.0,70000.0,730000.0
98,Dead Rising 4,2016,Action-Adventure,Microsoft Studios,410000.0,250000.0,0.0,60000.0,720000.0
99,LEGO Dimensions,2015,Action,Warner Bros. Interactive Entertainment,470000.0,180000.0,0.0,70000.0,720000.0
100,The Crew,2014,Racing,Ubisoft,320000.0,340000.0,0.0,60000.0,720000.0
101,Plants vs Zombies: Garden Warfare,2014,Shooter,Electronic Arts,390000.0,250000.0,0.0,60000.0,700000.0
102,Need for Speed Rivals,2013,Racing,Electronic Arts,450000.0,190000.0,0.0,70000.0,710000.0
